name,priority,notes,file_url,notion_url
The ULTIMATE Print-on-Demand Design Tutorial - Alek,High,,https://docs.google.com/document/d/16elxBStAPGz-6gLf3So0PU62BqD0rfwE2_dx7jEnJas/edit?tab=t.0,https://app.notion.com/p/183ed686b47d808e9444cc4944ee3f61
Etsy Plan of Action,High,,https://docs.google.com/document/d/10pfF0LKnixnlIEtTrHp-QLYR2kx6Kh2Vrn8fTvCkbQ0/edit?tab=t.0#heading=h.hvursko3ou3w,https://app.notion.com/p/183ed686b47d80f3ab0cf891ed7751b8
If I started EtsyToday - YouTube Video,High,C U Online,https://docs.google.com/document/d/1h4ja9IDZ1Gc8jDqRa1-8TTeU_JC-HEc3sQav-9g_jaM/edit?tab=t.0,https://app.notion.com/p/183ed686b47d80b2bbecdbf02f9f70a2
Alek Vid - Scale Shop quickly,High,,https://docs.google.com/document/d/1FcHMaig-3x7ruwKfc3Gt53Nml-SNuItnhrRYHtUa0pQ/edit?tab=t.0,https://app.notion.com/p/183ed686b47d8057a601de99c9c11c7c
Research Etsy Notes - Andreas,High,,https://docs.google.com/document/d/1O_CnFB-o8pMJgbJ0wnTrKpyE3F6bzhRBVMR4jrMVLOs/edit?tab=t.0,https://app.notion.com/p/183ed686b47d8097abedfc43c8a19e3f
Etsy - Andreas Notes,High,,https://docs.google.com/document/d/1j6Qu3ZFCFmmIo7IRrbrd_SlnPHJD9RD_4pRQSkxdOBk/edit?tab=t.0,https://app.notion.com/p/183ed686b47d801481fbeed4480603bb
Alek Course Etsy Notes,High,,https://docs.google.com/document/d/16gh1foAkR_2ccw6skjJybyB9T5SxC64OB3pztnu-hLc/edit?tab=t.0,https://app.notion.com/p/183ed686b47d809a8194cbd93cf62dde
Publishing Checklist,High,,https://prod-files-secure.s3.us-west-2.amazonaws.com/de9119a2-4b58-44ba-885e-86ff5096b9bb/f0547723-f416-40c7-9065-6ec1e874c006/Screenshot_2025-01-22_at_15.52.47.png,https://app.notion.com/p/183ed686b47d807c935dd996e5c44f02
Typical Figma Ideas Board,High,,https://prod-files-secure.s3.us-west-2.amazonaws.com/de9119a2-4b58-44ba-885e-86ff5096b9bb/7e645cfa-7038-403a-9ea0-cce653fed4e9/Screenshot_2025-01-22_at_15.53.49.png,https://app.notion.com/p/183ed686b47d80a89b19da27422bd90f
Andreas - 5 Easy Design Tips to Create Shirts That Sell and How To Create Them,Medium,,https://docs.google.com/document/d/1EWZDM6pRWArd36RT6myZPi_LtPtquY_h8iqPrTB0HSs/edit?tab=t.0,https://app.notion.com/p/183ed686b47d8019bc59e0a2fedbbd07
Santrel Best Way To Start Print On Demand in 2024 (Complete Tutorial,Medium,,https://docs.google.com/document/d/1ehioxyvS-P3lytPXJEGs7fi3K5rsv1PxoCq1DZGmSzE/edit?tab=t.0,https://app.notion.com/p/183ed686b47d80ae9505dd7bfe330d7d
Alek Notes Making Designs,Low,Put in workflow,https://docs.google.com/document/d/1l-D1np5jJQP7Qki8LAiUueqD6EnkjA7WjMSSn9vqSmE/edit?tab=t.0,https://app.notion.com/p/182ed686b47d80628069e892e7d93ea8
Alek Course Policies,Low,,https://docs.google.com/document/d/18HzWYl3mq_OFrQoEVx3Q5MmpRBc0J5WrC9nqliU5O_4/edit?tab=t.0,https://app.notion.com/p/183ed686b47d807e8c89d2b4c471d53e
"The Canva Ai Side Hustle That's Earning $1,180+/Day - Wholesale Ted",Low,,https://docs.google.com/document/d/17GUUBE1e9AGV7dQU4NFkU8N3F0cBkatqMFrC8Y6dCX8/edit?tab=t.0,https://app.notion.com/p/183ed686b47d8091b1cdcdf495069b9e
