name,status,priority,notes,file_url,notion_url
Simply Listed,Active,Low,,,https://app.notion.com/p/181ed686b47d80f8af2cd96d5b4fbbb0
Alura,Active,Low,Research Tool,https://www.alura.io/,https://app.notion.com/p/181ed686b47d803aaef9d40112fe2d66
Midjourney,Active,Low,Creating images. Use in Discord + browser,https://alpha.midjourney.com/explore?tab=top,https://app.notion.com/p/181ed686b47d800fb8dfc43ff94462a8
Discord,Active,Low,For Midjourney,,https://app.notion.com/p/181ed686b47d803aa0b3f8caf3cfe5b3
Use mid-journey in browser for prompts,Active,Low,,https://alpha.midjourney.com/jobs/e9d9fdcd-753d-44d7-b552-076c3d1d074a?index=0,https://app.notion.com/p/181ed686b47d81f2a97cfc334de2476a
Creative Fabrica,Active,Low,,https://www.creativefabrica.com,https://app.notion.com/p/181ed686b47d8106b810fd3efd28e6ff
ChatGPT,Active,Low,,https://chatgpt.com,https://app.notion.com/p/181ed686b47d8142a283e115a6d4d0ce
Printify,Active,Low,,https://printify.com/app/auth/login,https://app.notion.com/p/181ed686b47d8197b453c971049074ab
Alek Sheffield Etsy Course,Active,Low,,https://www.sixfigurestorefront.com/login,https://app.notion.com/p/181ed686b47d818db181da1fa1f1e872
Listings (Google Drive),Active,Low,https://drive.google.com/drive/u/3/folders/1IvkX5B6v7JlY9Mj0dfvr2HMD62S757vC,https://drive.google.com/drive/u/3/folders/1IvkX5B6v7JlY9Mj0dfvr2HMD62S757vC,https://app.notion.com/p/181ed686b47d814ca898e3e14544bab8
Adobe Illustrator,Active,Low,,,https://app.notion.com/p/181ed686b47d81598b84cffdaf335d70
Designs (Canva/Figma/Kittl),Active,Low,"Canva, Figma, Kittl",https://www.canva.com/; https://www.figma.com/; https://app.kittl.com/,https://app.notion.com/p/181ed686b47d817287e5c441f663a993
Trademark Checker,Active,Low,,https://tmsearch.uspto.gov/search/search-information; https://flyingresearch.net/,https://app.notion.com/p/181ed686b47d81bc8040fe55633432ac
Everbee,Not Active,Low,Research Tool,https://everbee.io/,https://app.notion.com/p/181ed686b47d8014a320e01612d01786
Prelist,Not Active,High,Alek Etsy Uploader. Need to do free trial. Buy lifetime.,https://www.prelist.io/#feature,https://app.notion.com/p/181ed686b47d80e78351d12916f7db78
Listing View,Not Active,Low,Alek Keyword Research. Do free trial.,,https://app.notion.com/p/181ed686b47d80e39d1ffc1e773e8dd2
Recraft.ai,Not Active,Low,"Image generator, Vectorizer, Vector Generator, Photo editor, Mockup Generator, Image Upscaler, Background remover",https://www.recraft.ai/,https://app.notion.com/p/181ed686b47d805d8474e3e9ee67e1c4
Printify API Reference,Not Active,Low,Build own uploader,https://developers.printify.com/#overview,https://app.notion.com/p/181ed686b47d80ebac22d3a202017c9e
Hello Custom,Not Active,Low,HelloCustom - custom orders,https://hellocustom.io/,https://app.notion.com/p/181ed686b47d818a87e8ea6b2b297132
Quickbooks,,Low,,,https://app.notion.com/p/181ed686b47d808aa9eeeb4943bb68cd
Slack,,Low,,,https://app.notion.com/p/181ed686b47d8092b08ff5edb01b2ebe
Trello,,Low,,,https://app.notion.com/p/181ed686b47d802b9131fff460793ab5
Font Matcherator,,Low,,https://www.fontspring.com/matcherator,https://app.notion.com/p/181ed686b47d809d9d06d9229fb6abc2
Flying Research Legal Check,,Low,,https://app.flyingresearch.net/#/store/research?ref=andreas,https://app.notion.com/p/181ed686b47d80ada207c08646a8069c
