name,stage,priority,notes,target_date_start,target_date_end,notion_url
Thank You cards for purchases on store,Completed,High,"Put Etsy shop link in them
Also put discount code to encourage repeat purchases",,,https://app.notion.com/p/17fed686b47d80b1a6f9d9399d965083
Wholesale Ted YouTube Vids,Completed,High,WholeSale Ted - 400 listings => 7k per week,,,https://app.notion.com/p/181ed686b47d80c7a344fbe58f998170
Add social proof to etsy,Not Started,High,Check ChatGPT for ways how to with non sales,2026-01-23T11:15:00Z,2026-01-23T11:45:00Z,https://app.notion.com/p/1aced686b47d8008a4c0f314a6120cc0
IMPORTANT - Setup Matching Shirts,Started,High,,2026-05-10T14:45:00Z,2026-05-10T16:00:00Z,https://app.notion.com/p/228ed686b47d8060825de9de97a6aeb5
Do Simply Listed of Comfort Colours Light and Dark mockups,Not Started,High,,2026-02-06T16:00:00Z,2026-02-06T16:30:00Z,https://app.notion.com/p/228ed686b47d80a997ddf16343883fdb
Look at iPhoto from 18th Nov 2024 - ideas,Started,High,,2026-05-10T17:00:00Z,2026-05-10T17:30:00Z,https://app.notion.com/p/181ed686b47d805582a4ecd9d29feefc
Text Mrk to get going on testing software,Completed,High,,2026-03-07T13:15:00Z,2026-03-07T13:45:00Z,https://app.notion.com/p/181ed686b47d80ffa5a2f75662f12289
Add guarantee,Completed,High,,2025-08-15T12:30:00Z,2025-08-15T13:15:00Z,https://app.notion.com/p/181ed686b47d80c5b635e8bffc17c8cb
Buy eRank and Everbee for Research,Completed,High,,,,https://app.notion.com/p/1a7ed686b47d8075a9bdf563ef3a0c79
Add 10 Best Selling Designs in Master Template,Completed,High,,,,https://app.notion.com/p/228ed686b47d80dd8bacd30f701f58e4
Check off Non performing ads,Completed,High,,2026-01-11T19:15:00Z,2026-01-11T19:45:00Z,https://app.notion.com/p/228ed686b47d80e68f33d83f51bc3583
10 Best Selling Designs in Master Template,Completed,High,,2025-12-14T13:45:00Z,2025-12-14T14:15:00Z,https://app.notion.com/p/228ed686b47d800ba37ef82055aedd42
Go through CU Online Checklist - Good,Completed,High,,2025-12-13T13:15:00Z,2025-12-13T13:45:00Z,https://app.notion.com/p/228ed686b47d801f8459e21c73c207d7
Do Simply Areas + 2x Templates + 2xnecklace on iMAC,Completed,High,,2025-12-13T13:45:00Z,2025-12-13T14:15:00Z,https://app.notion.com/p/228ed686b47d8067bb6cef9046793f0b
Put love it guarantee in mockups along the bottom with mockup centred,Completed,High,,2026-02-06T16:30:00Z,2026-02-06T17:00:00Z,https://app.notion.com/p/228ed686b47d8055b71de880adb1f24e
Personalised description and prices - go through top custom listings,Completed,High,,2025-12-14T18:30:00Z,2025-12-14T19:00:00Z,https://app.notion.com/p/228ed686b47d80dbb194e69271fca88d
Wholesale Ted Videos,Completed,High,,2025-07-07T13:15:00Z,2025-07-07T13:45:00Z,https://app.notion.com/p/228ed686b47d80ef8289d12251b6a3b9
keywords first then designs then white designs,Completed,High,,2025-12-14T18:00:00Z,2025-12-14T18:30:00Z,https://app.notion.com/p/228ed686b47d80c087d1ec21938f64f1
Cancel Playground Sub,Completed,High,,2025-12-14T13:15:00Z,2025-12-14T13:45:00Z,https://app.notion.com/p/228ed686b47d800aa142d1a4ad7b68f7
Start using Sweatshirts Gildan 18000,Completed,High,,2025-12-13T14:45:00Z,2025-12-13T15:45:00Z,https://app.notion.com/p/228ed686b47d800b949cf28601ca7a56
Checklist of Things to do at each stage,Not Started,High,,2026-01-10T14:30:00Z,2026-01-10T15:30:00Z,https://app.notion.com/p/228ed686b47d802789c6d5a50621e916
Vela Profile update,Completed,High,,2025-08-08T17:15:00Z,2025-08-08T17:45:00Z,https://app.notion.com/p/229ed686b47d80aea54ad2e26192c4ac
Refresh Listings every week,Completed,High,,2025-12-14T17:30:00Z,2025-12-14T18:00:00Z,https://app.notion.com/p/229ed686b47d80748f1df5f75eb23e74
