notion_id,title,status,priority,deadline,goal,next_action,notes,notion_url,archived
17eed686b47d80b98e1ec384c819eaa9,Welsh POD site - thewelshcompany.com,Not started,High,,Welsh sites bad and can have impact locally,,Photoshop technique vids,https://app.notion.com/17eed686b47d80b98e1ec384c819eaa9,false
354ed686b47d802687d1c7f31f8e8edd,Sound Money YouTube Channel,In progress,High,,Main source of income online,Get 1st short up ASAP,,https://app.notion.com/354ed686b47d802687d1c7f31f8e8edd,false
354ed686b47d80b58358e359b239c805,Build a bigger neck + Jawline,In progress,High,,Better for sleep,Start thumbpulling,,https://app.notion.com/354ed686b47d80b58358e359b239c805,false
355ed686b47d8006a8bcd84800ef823e,Learning Welsh,In progress,High,,Learn Welsh as heritage,Put calendar in Welsh,,https://app.notion.com/355ed686b47d8006a8bcd84800ef823e,false
355ed686b47d80479bafc08e9ceaf0fa,Shopify,Paused,Medium,,,,,https://app.notion.com/355ed686b47d80479bafc08e9ceaf0fa,false
355ed686b47d81409113fa1adc3a381c,WealthMack,Paused,Medium,,,,,https://app.notion.com/355ed686b47d81409113fa1adc3a381c,false
355ed686b47d81bc8adbe6def700d789,SEO,Paused,Medium,,,,,https://app.notion.com/355ed686b47d81bc8adbe6def700d789,false
355ed686b47d81efb4dad7f154b03adc,Shopify / POD / Dropshipping,Paused,Medium,,,,,https://app.notion.com/355ed686b47d81efb4dad7f154b03adc,false
356ed686b47d8084b348dd0ad592af87,Gwneud cwpan y byd gwefan fantasy for group,Not started,High,,Good for Friends to keep in touch and talk,Ask Claude to Build with NextJS and React,,https://app.notion.com/356ed686b47d8084b348dd0ad592af87,false
358ed686b47d8018adbaf43dd9bc9dc0,Lose Fat 1kg per week - Target sub 80kg,In progress,High,,Get fitter and healthier,Keep monitoring doing well,,https://app.notion.com/358ed686b47d8018adbaf43dd9bc9dc0,false
358ed686b47d806c805ff1049675d64f,Etsy TopNotchThreadz,In progress,High,,To diversify income streams online,Ask ChatGPT/Claude for next steps,,https://app.notion.com/358ed686b47d806c805ff1049675d64f,false
358ed686b47d80dcb267d075f3c49444,Become more productive,In progress,High,,Get more done,Listen to audiobooks and take notes,,https://app.notion.com/358ed686b47d80dcb267d075f3c49444,false
358ed686b47d80e68915f9fcf54f0f63,Improve Hair,In progress,High,,Better for looks,Wash hair with eggs,,https://app.notion.com/358ed686b47d80e68915f9fcf54f0f63,false
358ed686b47d80f3a7dec80f5eb6929d,Do the perfect squat,In progress,High,,,,,https://app.notion.com/358ed686b47d80f3a7dec80f5eb6929d,false
35ced686b47d81128a88cc19b08acf11,WealthMack (example),In progress,High,,Build WealthMack into a finance content site generating passive income,Publish first 3 book summary articles targeting low-competition keywords,,https://app.notion.com/35ced686b47d81128a88cc19b08acf11,false
35ced686b47d81858018cb7af6361cbc,YouTube - WealthMack Finance Channel (example),In progress,High,,Repurpose WealthMack content into YouTube videos to drive traffic back to the site,Script the Rich Dad Poor Dad summary video,,https://app.notion.com/35ced686b47d81858018cb7af6361cbc,false
